iter	Logloss
0	0.4860216912
1	0.3415170765
2	0.2527769886
3	0.1880816607
4	0.1468677324
5	0.1090069759
6	0.09313465685
7	0.07583057816
8	0.06718599009
9	0.05728175408
10	0.05373270461
11	0.04802017527
12	0.04341737988
13	0.0417480538
14	0.03837412113
15	0.03651966732
16	0.03529384024
17	0.03419021726
18	0.03287484894
19	0.03256135515
20	0.03162986124
21	0.03103120489
22	0.03017107095
23	0.0294128418
24	0.02882607646
25	0.02807536568
26	0.02704232753
27	0.02640993825
28	0.02599083453
29	0.0255987033
30	0.02535838683
31	0.02491875019
32	0.02463684653
33	0.02405086034
34	0.02354912789
35	0.02319179588
36	0.0226918314
37	0.02253241376
38	0.02252277916
39	0.02215493505
40	0.02195332331
41	0.02156382748
42	0.02148571667
43	0.02140244874
44	0.02116230438
45	0.02092845599
46	0.02064151965
47	0.02058626351
48	0.02021557337
49	0.0200365815
50	0.01965535591
51	0.0193604981
52	0.01920712457
53	0.01907562609
54	0.01882349006
55	0.01859068061
56	0.01846206486
57	0.01838424349
58	0.01810970328
59	0.0179232166
60	0.01767216061
61	0.01760521398
62	0.01731651852
63	0.01706763343
64	0.01690901274
65	0.01653283348
66	0.01640454772
67	0.0162131159
68	0.01606849431
69	0.01590723545
70	0.01568650128
71	0.01558333905
72	0.01547407302
73	0.01512548581
74	0.01509792235
75	0.01505438256
76	0.01479857427
77	0.01466844099
78	0.01454954282
79	0.01450685202
80	0.01426403949
81	0.01408961658
82	0.01394259524
83	0.01379889447
84	0.01355188993
85	0.01345828422
86	0.0134051254
87	0.01333404081
88	0.01329082963
89	0.01318440118
90	0.01297683686
91	0.01292439831
92	0.01285427994
93	0.01275131333
94	0.01264570166
95	0.01249976236
96	0.01242060671
97	0.01235239417
98	0.01209985373
99	0.01199796301
100	0.01180636004
101	0.01177553229
102	0.0116261735
103	0.01158157273
104	0.01131397481
105	0.01112545381
106	0.01100998041
107	0.01095202369
108	0.01086308868
109	0.01082616263
110	0.0106323098
111	0.01046460053
112	0.01037244666
113	0.01034277787
114	0.01025328771
115	0.01017646651
116	0.01004124206
117	0.009839162544
118	0.009670342735
119	0.009587170762
120	0.009460008321
121	0.009385549222
122	0.009184845829
123	0.009157673007
124	0.009059684682
125	0.008993995735
126	0.008819595475
127	0.008792272438
128	0.008683271967
129	0.008622368645
130	0.008495527495
131	0.008388714923
